County	Year	Avg API	Median House Value
Santa Clara	2010	710.7868822519572	371.67
Santa Clara	2007	696.3463455149501	479.25
Santa Clara	2011	715.7709760463416	356.17
Santa Clara	2009	707.0142275904832	374.58
Santa Clara	2012	720.5427408956999	375.58
Santa Clara	2008	703.036100218517	428.0
Napa	2010	709.5151475380538	242.42
Napa	2007	691.3285944599149	386.58
Napa	2011	714.4364122678221	221.83
Napa	2009	706.0395844518958	277.67
Napa	2012	719.3088630127668	228.17
Napa	2008	701.4968015575024	356.42
Yolo	2010	712.0848573676326	153.25
Yolo	2007	699.2463181148748	255.08
Yolo	2011	717.0294381468228	140.67
Yolo	2009	707.8747090839121	182.83
Yolo	2012	721.6996477232202	133.75
Yolo	2008	704.3848424368945	220.67
Imperial	2010	708.6263041720673	81.33
Imperial	2007	693.8278955954323	170.75
Imperial	2011	713.251333945226	79.33
Imperial	2009	705.3513861111966	97.5
Imperial	2012	718.1666301458371	84.08
Imperial	2008	700.5601382907746	140.25
Siskiyou	2010	711.1740939288298	112.67
Siskiyou	2007	697.4141974186512	151.58
Siskiyou	2011	716.1456745913621	98.17
Siskiyou	2009	707.2742592886083	124.83
Siskiyou	2012	720.8853469637537	86.92
Siskiyou	2008	703.4562424710567	144.83
Solano	2010	711.2682963176842	135.75
Solano	2007	697.6430247718383	270.92
Solano	2011	716.237067996019	124.17
Solano	2009	707.3364155342929	157.67
Solano	2012	720.9691501229748	121.33
Solano	2008	703.5556998322783	206.67
Shasta	2010	710.9826743446382	126.25
Shasta	2007	696.9086051041303	180.5
Shasta	2011	715.9602426716732	111.67
Shasta	2009	707.1458280549753	147.0
Shasta	2012	720.7155942610876	110.0
Shasta	2008	703.2500191431525	161.83
Placer	2010	709.7324907059156	162.67
Placer	2007	692.7107281954444	238.17
Placer	2011	714.6859064847832	149.0
Placer	2009	706.2084942084942	180.5
Placer	2012	719.5423342818668	149.0
Placer	2008	701.8139492565249	205.75
San Benito	2010	710.0578351901501	165.25
San Benito	2011	715.0356981781015	152.5
San Benito	2009	706.4630359266081	128.25
San Benito	2012	719.8661933292805	155.67
Alameda	2010	707.9828648848735	293.33
Alameda	2007	676.7659574468086	418.75
Alameda	2011	712.2591250932646	271.75
Alameda	2009	704.5491148316517	295.75
Alameda	2012	717.199121771348	276.25
Alameda	2008	699.4748766777561	348.83
Madera	2010	709.021413553194	87.58
Madera	2007	692.2518056467499	182.33
Madera	2011	713.8052297726139	82.33
Madera	2009	705.7040134714794	116.17
